id,titulo,popularidade,nota,votos,data_lancamento,descricao
1084222,Caçada Sangrenta,106.0029,6.734,47,2024-12-12,"Um grupo de militares é enviado a uma ilha do Pacífico para investigar o desaparecimento de fuzileiros, possivelmente capturados pelo Exército Imperial Japonês. No entanto, o grupo descobre que os fuzileiros foram massacrados por lobisomens e terão que lutar contra eles se quiserem sobreviver."
1241983,Sonhos de Trem,104.7815,7.4,133,2025-11-05,Um lenhador leva uma vida tranquila enquanto lida com o amor e a perda em uma época de profundas transformações nos Estados Unidos do começo do século XX.
1327862,Se Não Fosse Você,98.1683,7.089,95,2025-10-22,"Morgan Grant e sua filha Clara precisam lidar com o que ficou após um acidente devastador revelar uma traição chocante e forçá-las a confrontar segredos da família, redefinir o amor e se redescobrir."
1244531,Beast of War,98.0156,6.4,42,2025-09-18,
1026821,大雨,94.3665,6.0,14,2024-01-12,
803796,Guerreiras do K-Pop,89.9981,8.213,1947,2025-06-20,"Quando não estão lotando estádios, as estrelas do K-pop Rumi, Mira e Zoey usam seus poderes secretos para proteger os fãs contra ameaças sobrenaturais."
1296504,Stand Your Ground,89.7748,4.614,57,2025-05-09,"O ex-agente das Forças Especiais, Jack Johnson, usa a lei Stand Your Ground para se vingar do assassinato de sua esposa, iniciando uma guerra brutal contra a família de um criminoso local e terminando em um confronto explosivo."
1280518,Laberinto de sombras,89.0386,4.5,2,2024-05-10,
7451,Triplo X,87.9906,5.976,4674,2002-08-09,"O ex-atleta de esportes extremos Xander ""XXX"" Cage, famoso por suas acrobacias que desafiam a morte, é convencido de que pode ter sucesso em ações que espiões convencionais falharam. Xander é recrutado pelo agente Gibbons para se tornar um tipo diferente de agente secreto. Agora, em uma perigosa missão, ele precisa usar todas as suas habilidades para combater um inimigo mortal."
1218925,Chainsaw Man – O Filme: Arco da Reze,86.68,7.828,218,2025-09-19,"Denji finalmente vive como o temido Homem-Motosserra, um jovem com coração de demônio que integra a Divisão Especial 4 de Caçadores de Demônios. Depois de um encontro marcante com Makima, a mulher de seus sonhos, ele busca refúgio da chuva e acaba conhecendo Reze, a misteriosa atendente de um café."
937941,Terror em Shelby Oaks,81.2679,5.738,84,2025-10-02,"Acompanhe a busca desesperada de Mia por sua irmã desaparecida, Riley, uma youtuber famosa por investigar o paranormal. A obsessão de Mia recomeça quando ela recebe uma fita misteriosa com indícios de que Riley ainda pode estar viva. A partir daí, ela mergulha em uma espiral de horror de um mal desconhecido, repleta de revelações perturbadoras e uma atmosfera sufocante."
402431,Wicked,75.1887,6.9,2599,2024-11-20,"Elphaba é uma jovem como outra qualquer do Reino de Oz, mas incompreendida por causa de sua pele verde incomum e por ainda não ter descoberto seu verdadeiro poder. Sua rotina é tranquila e pouco interessante, mas ao iniciar seus estudos na Universidade de Shiz, seu destino encontra Glinda, uma jovem popular e ambiciosa, nascida em berço de ouro, que só quer garantir seus privilégios e ainda não conhece sua verdadeira alma. As duas iniciam uma inesperada amizade; no entanto, suas diferenças, como o desejo de Glinda pela popularidade e poder, e a determinação de Elphaba em permanecer fiel a si mesma, entram no caminho, o que pode perpetuar no futuro de cada uma e em como as pessoas de Oz as enxergam."
1130276,O Jogo da Tentação,74.6989,8.997,190,2024-10-06,"Um rapaz, que acabou de se tornar pai e luta contra a fadiga, inseguranças emocionais e um casamento fracassado, se inscreve em um aplicativo de namoro e encontra uma jovem atraente, que parece ter poderes inumanos."
1468417,Antes da Lua Cheia,74.4937,4.021,47,2025-05-06,"Uma jovem garçonete é sequestrada por um culto religioso, que está determinado a curá-la da maldição do lobisomem, um vírus sexualmente transmissível, ou matá-la no processo. Para sobreviver, ela precisa escapar antes da primeira lua cheia."
1038392,Invocação do Mal - O Último Ritual,70.5106,6.978,1359,2025-09-03,"Neste último capítulo, os Warren enfrentam mais um caso aterrorizante, desta vez envolvendo entidades misteriosas que desafiam sua experiência. Ed (Patrick Wilson) e Lorraine (Vera Farmiga) se veem obrigados a encarar seus maiores medos, colocando suas vidas em risco em uma batalha final contra forças malignas."
